label,var_6,var_18,var_2,var_26,var_27,var_1,var_3,var_25,var_23,var_7,var_4,var_8,var_22,var_13,var_10,var_30,var_28,var_16,var_15,var_31,var_32,var_11,var_19,var_21,var_24,var_17,var_9,var_5,var_12,var_14,var_20,var_29
0,1,-0.0,4,8,5,1,38,3,1,4,0,1,0,1,-0.0,0,0,5.443944759,7.461278847,0,0,1,0,1.8245719595,1.809687201,0.0,-0.0,1,-0.0,3.887955244,0,2.1417401985
0,1,-0.0,24,8,14,10,38,2,8,1,0,0,0,1,8.169167537,0,0,5.443944759,7.461278847,0,0,1,0,1.8245719595,0.0,0.0,-0.0,1,-0.0,3.887955244,0,2.1417401985
0,0,-0.0,3,21,11,12,19,9,1,1,0,0,1,0,4.0845837685,1,0,0.0,0.0,0,1,0,0,1.8245719595,1.809687201,0.0,12.686261817,1,6.216228106,7.775910488,0,2.1417401985
1,0,1.5982218600000002,24,4,18,9,2,8,2,3,1,0,0,1,8.169167537,0,0,2.7219723795,0.0,0,0,0,0,0.0,1.809687201,2.8859880545000003,-0.0,1,-0.0,-0.0,1,2.1417401985
1,0,-0.0,38,26,16,11,16,5,2,4,0,0,0,0,-0.0,1,1,5.443944759,3.7306394235,0,1,1,1,1.8245719595,1.809687201,2.8859880545000003,12.686261817,0,3.108114053,-0.0,1,0.0
0,1,-0.0,5,4,19,3,18,4,7,3,1,0,1,0,-0.0,0,1,2.7219723795,7.461278847,0,1,1,0,1.8245719595,1.809687201,0.0,6.3431309085,1,3.108114053,3.887955244,1,0.0
0,0,1.5982218600000002,105,2,15,7,6,1,2,3,0,0,1,0,4.0845837685,1,1,0.0,3.7306394235,1,1,0,0,1.8245719595,1.809687201,2.8859880545000003,-0.0,1,-0.0,-0.0,0,2.1417401985
1,0,-0.0,17,6,6,5,9,8,1,1,0,0,0,1,-0.0,0,0,0.0,3.7306394235,0,0,0,1,1.8245719595,1.809687201,2.8859880545000003,12.686261817,0,-0.0,3.887955244,0,0.0
0,0,1.5982218600000002,10,12,15,10,38,3,1,2,1,0,0,1,8.169167537,1,1,5.443944759,3.7306394235,0,1,0,0,1.8245719595,0.0,0.0,12.686261817,1,6.216228106,7.775910488,0,0.0
0,1,1.5982218600000002,46,8,19,4,3,9,5,3,0,0,1,1,-0.0,0,0,0.0,0.0,0,1,0,0,1.8245719595,1.809687201,2.8859880545000003,-0.0,0,-0.0,-0.0,0,0.0
0,0,1.5982218600000002,18,6,12,12,18,2,10,3,0,0,0,0,-0.0,1,0,2.7219723795,7.461278847,1,1,0,0,1.8245719595,0.0,0.0,12.686261817,0,6.216228106,-0.0,1,0.0
0,1,-0.0,4,26,7,8,30,6,7,1,1,1,1,1,4.0845837685,0,1,5.443944759,0.0,1,0,1,0,1.8245719595,0.0,0.0,-0.0,1,-0.0,-0.0,0,2.1417401985
1,1,1.5982218600000002,6,21,20,11,38,1,9,1,0,1,1,1,-0.0,0,1,2.7219723795,7.461278847,0,1,0,1,0.0,1.809687201,0.0,6.3431309085,0,3.108114053,3.887955244,1,0.0
1,1,-0.0,5,19,19,7,22,4,1,3,0,0,0,0,8.169167537,1,0,5.443944759,0.0,1,1,1,0,0.0,1.809687201,2.8859880545000003,12.686261817,1,6.216228106,7.775910488,0,2.1417401985
1,0,1.5982218600000002,39,15,17,5,19,3,1,4,0,0,1,1,4.0845837685,0,0,5.443944759,7.461278847,1,0,0,0,1.8245719595,0.0,2.8859880545000003,12.686261817,0,-0.0,7.775910488,0,0.0
1,1,1.5982218600000002,27,7,12,7,3,5,8,1,0,0,0,1,-0.0,1,0,5.443944759,7.461278847,0,1,1,1,0.0,1.809687201,2.8859880545000003,12.686261817,1,3.108114053,3.887955244,1,2.1417401985
1,0,-0.0,34,5,8,4,2,6,9,3,0,1,1,0,4.0845837685,0,0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,6.3431309085,1,3.108114053,3.887955244,1,2.1417401985
0,1,-0.0,72,6,19,11,18,2,7,4,1,0,1,1,-0.0,0,0,5.443944759,0.0,0,0,1,1,0.0,0.0,2.8859880545000003,6.3431309085,1,6.216228106,3.887955244,1,0.0
0,0,1.5982218600000002,6,14,6,3,16,7,10,1,0,1,0,0,4.0845837685,1,1,0.0,7.461278847,1,0,0,0,0.0,1.809687201,2.8859880545000003,-0.0,0,3.108114053,3.887955244,1,0.0
1,0,1.5982218600000002,15,23,5,9,22,2,6,2,1,0,0,0,4.0845837685,1,1,0.0,3.7306394235,0,0,1,1,0.0,0.0,0.0,12.686261817,0,3.108114053,7.775910488,1,2.1417401985
0,0,1.5982218600000002,5,9,4,6,1,4,1,4,1,1,0,0,4.0845837685,1,0,2.7219723795,7.461278847,0,0,1,1,1.8245719595,1.809687201,0.0,12.686261817,1,3.108114053,3.887955244,0,2.1417401985
0,1,1.5982218600000002,27,6,4,4,16,7,1,2,0,0,0,1,-0.0,0,0,5.443944759,0.0,0,0,1,0,0.0,1.809687201,0.0,-0.0,0,-0.0,3.887955244,0,0.0
1,0,1.5982218600000002,39,11,7,12,27,2,3,2,1,1,0,1,-0.0,0,0,0.0,0.0,1,0,1,0,0.0,1.809687201,0.0,6.3431309085,0,-0.0,3.887955244,0,2.1417401985
1,0,-0.0,9,13,19,10,6,3,3,1,0,1,0,1,8.169167537,0,0,0.0,0.0,0,1,0,1,1.8245719595,1.809687201,2.8859880545000003,12.686261817,0,-0.0,7.775910488,0,2.1417401985
0,1,1.5982218600000002,2,1,17,4,18,7,10,4,1,0,1,0,-0.0,0,0,5.443944759,3.7306394235,1,0,1,0,0.0,1.809687201,2.8859880545000003,6.3431309085,0,-0.0,-0.0,0,2.1417401985
0,0,1.5982218600000002,72,10,12,3,4,7,10,3,1,1,1,0,8.169167537,1,1,0.0,7.461278847,0,1,0,0,0.0,0.0,0.0,-0.0,1,-0.0,-0.0,0,0.0
0,0,-0.0,5,4,9,4,27,2,3,2,1,1,1,0,4.0845837685,0,1,0.0,3.7306394235,1,0,0,1,0.0,1.809687201,2.8859880545000003,12.686261817,0,3.108114053,7.775910488,0,0.0
0,0,-0.0,15,24,14,7,2,2,2,2,0,0,0,0,-0.0,1,1,0.0,7.461278847,1,0,0,0,1.8245719595,0.0,2.8859880545000003,-0.0,1,-0.0,-0.0,0,2.1417401985
1,0,-0.0,4,1,5,12,22,8,9,2,1,0,0,1,8.169167537,0,1,0.0,3.7306394235,1,1,0,0,0.0,0.0,0.0,6.3431309085,0,6.216228106,3.887955244,1,2.1417401985
0,1,1.5982218600000002,33,23,7,5,19,2,2,4,1,0,0,0,4.0845837685,0,0,5.443944759,0.0,1,0,0,0,1.8245719595,0.0,2.8859880545000003,12.686261817,1,3.108114053,7.775910488,1,2.1417401985
1,1,-0.0,4,17,8,7,4,4,1,1,1,0,1,0,-0.0,1,0,0.0,0.0,1,1,0,1,0.0,1.809687201,0.0,-0.0,1,6.216228106,-0.0,1,2.1417401985
0,1,-0.0,4,2,15,6,30,9,2,4,1,1,1,1,8.169167537,0,0,2.7219723795,7.461278847,1,1,0,1,1.8245719595,0.0,0.0,12.686261817,1,-0.0,3.887955244,1,2.1417401985
0,0,1.5982218600000002,6,4,16,8,6,2,4,3,0,1,1,0,4.0845837685,0,1,2.7219723795,3.7306394235,1,0,1,0,1.8245719595,0.0,0.0,6.3431309085,0,-0.0,-0.0,1,2.1417401985
0,0,-0.0,26,17,15,6,3,2,1,4,0,0,1,1,-0.0,1,0,5.443944759,7.461278847,1,0,1,0,0.0,0.0,2.8859880545000003,12.686261817,0,6.216228106,3.887955244,0,2.1417401985
0,1,1.5982218600000002,4,20,11,7,6,9,8,4,1,0,0,0,-0.0,0,1,5.443944759,3.7306394235,0,1,0,0,1.8245719595,0.0,2.8859880545000003,12.686261817,1,6.216228106,-0.0,0,0.0
1,1,-0.0,9,6,17,9,18,4,2,1,0,1,1,0,4.0845837685,0,0,5.443944759,7.461278847,0,0,0,1,1.8245719595,1.809687201,2.8859880545000003,6.3431309085,0,6.216228106,3.887955244,1,0.0
0,0,-0.0,31,16,3,10,3,1,6,4,0,1,1,0,-0.0,0,1,5.443944759,3.7306394235,0,0,1,1,1.8245719595,1.809687201,0.0,-0.0,0,-0.0,-0.0,1,0.0
