label,var_6,var_18,var_2,var_26,var_27,var_1,var_3,var_25,var_23,var_7,var_4,var_8,var_22,var_13,var_10,var_30,var_28,var_16,var_15,var_31,var_32,var_11,var_19,var_21,var_24,var_17,var_9,var_5,var_12,var_14,var_20,var_29
0,1,1.5982218600000002,18,5,1,2,27,2,7,3,1,1,1,1,-0.0,1,0,5.443944759,0.0,1,0,1,1,0.0,1.809687201,0.0,12.686261817,0,6.216228106,3.887955244,1,2.1417401985
0,0,-0.0,63,15,1,12,2,8,9,2,0,0,0,1,4.0845837685,0,0,0.0,0.0,0,1,0,1,1.8245719595,1.809687201,2.8859880545000003,12.686261817,1,6.216228106,-0.0,0,0.0
1,0,-0.0,15,16,16,10,9,9,8,1,1,1,0,1,-0.0,0,1,2.7219723795,0.0,1,0,0,0,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,0,0.0
1,1,-0.0,39,14,12,12,27,5,7,4,1,0,0,0,4.0845837685,0,0,2.7219723795,0.0,0,1,1,1,1.8245719595,1.809687201,0.0,6.3431309085,1,3.108114053,-0.0,0,2.1417401985
0,0,-0.0,9,14,18,5,16,9,9,1,0,1,0,1,-0.0,1,1,0.0,0.0,0,0,0,1,0.0,1.809687201,2.8859880545000003,-0.0,0,-0.0,-0.0,0,0.0
1,0,-0.0,63,24,17,7,6,9,6,3,1,1,1,0,8.169167537,1,1,2.7219723795,0.0,0,0,1,1,0.0,1.809687201,0.0,12.686261817,1,6.216228106,-0.0,0,0.0
0,1,1.5982218600000002,72,3,16,4,6,6,7,4,1,1,0,0,-0.0,1,1,0.0,0.0,0,1,0,1,0.0,0.0,2.8859880545000003,6.3431309085,0,-0.0,7.775910488,1,0.0
0,0,1.5982218600000002,19,2,15,3,6,5,6,4,0,0,1,0,4.0845837685,1,1,5.443944759,3.7306394235,0,0,1,0,1.8245719595,0.0,2.8859880545000003,6.3431309085,1,6.216228106,-0.0,0,0.0
0,1,1.5982218600000002,53,8,8,4,9,9,9,4,1,1,0,0,-0.0,0,1,0.0,0.0,1,0,0,1,0.0,1.809687201,2.8859880545000003,6.3431309085,1,6.216228106,3.887955244,1,0.0
0,0,1.5982218600000002,63,26,5,5,27,7,3,3,1,1,0,0,4.0845837685,1,1,0.0,0.0,0,0,0,0,1.8245719595,0.0,0.0,6.3431309085,0,-0.0,7.775910488,0,0.0
0,1,-0.0,20,14,11,5,30,2,2,1,0,0,0,1,4.0845837685,1,1,2.7219723795,3.7306394235,1,0,1,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,0,2.1417401985
0,0,-0.0,10,9,18,4,22,1,8,4,0,1,1,1,-0.0,1,1,5.443944759,0.0,0,0,0,0,1.8245719595,0.0,0.0,6.3431309085,0,-0.0,-0.0,1,0.0
1,0,-0.0,7,14,11,10,18,9,2,3,0,1,0,0,4.0845837685,0,1,2.7219723795,3.7306394235,0,1,1,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,1,2.1417401985
0,0,-0.0,9,1,16,9,27,5,7,3,1,1,1,0,-0.0,0,0,0.0,3.7306394235,0,1,0,1,1.8245719595,1.809687201,0.0,12.686261817,0,-0.0,-0.0,1,0.0
1,1,1.5982218600000002,16,24,5,5,16,9,7,2,0,1,0,0,4.0845837685,0,0,0.0,0.0,0,0,0,1,1.8245719595,0.0,2.8859880545000003,-0.0,1,-0.0,-0.0,0,0.0
1,0,-0.0,7,6,6,8,19,3,5,1,1,1,0,0,-0.0,1,1,2.7219723795,0.0,1,0,0,0,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,1,2.1417401985
0,0,1.5982218600000002,5,2,1,12,16,1,6,1,0,0,1,1,8.169167537,1,1,0.0,0.0,0,0,1,1,1.8245719595,0.0,2.8859880545000003,-0.0,1,-0.0,-0.0,1,0.0
0,0,1.5982218600000002,39,25,6,9,38,5,8,3,0,1,0,1,-0.0,0,0,0.0,3.7306394235,1,1,0,1,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,0,0.0
0,0,-0.0,15,14,2,1,19,9,1,4,1,1,0,0,-0.0,0,1,0.0,0.0,1,0,0,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,1,0.0
1,0,1.5982218600000002,16,7,20,12,4,1,2,1,0,0,1,1,-0.0,1,0,0.0,0.0,0,0,0,1,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,1,0.0
1,1,-0.0,31,4,4,12,6,3,8,2,0,1,1,1,-0.0,0,0,0.0,0.0,0,0,0,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,0,2.1417401985
0,0,1.5982218600000002,46,11,17,6,30,9,7,3,1,1,1,0,-0.0,0,1,0.0,0.0,1,0,0,1,1.8245719595,1.809687201,0.0,12.686261817,0,-0.0,-0.0,1,0.0
1,0,1.5982218600000002,33,4,5,10,27,3,7,1,0,0,1,1,4.0845837685,0,0,2.7219723795,3.7306394235,0,0,0,1,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,1,0.0
0,1,1.5982218600000002,17,14,18,1,3,1,6,1,1,1,1,1,4.0845837685,1,0,5.443944759,3.7306394235,0,1,1,0,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,1,0.0
1,1,-0.0,1,14,15,4,9,1,4,1,0,0,1,0,-0.0,0,1,0.0,0.0,1,0,1,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,1,0.0
0,1,-0.0,27,15,20,5,1,1,9,4,0,1,0,1,-0.0,1,1,5.443944759,3.7306394235,1,1,0,1,0.0,1.809687201,0.0,6.3431309085,0,-0.0,7.775910488,1,0.0
1,1,1.5982218600000002,4,7,9,10,9,3,10,4,1,0,1,1,-0.0,0,1,2.7219723795,7.461278847,1,0,0,0,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,1,0.0
1,1,1.5982218600000002,12,9,20,3,16,1,5,4,1,0,0,1,4.0845837685,0,0,5.443944759,7.461278847,0,0,0,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,0,2.1417401985
1,0,-0.0,4,6,4,8,27,3,8,1,1,0,0,1,4.0845837685,0,1,2.7219723795,0.0,0,1,1,0,0.0,1.809687201,0.0,-0.0,1,-0.0,-0.0,1,2.1417401985
