label,var_6,var_18,var_2,var_26,var_27,var_1,var_3,var_25,var_23,var_7,var_4,var_8,var_22,var_13,var_10,var_30,var_28,var_16,var_15,var_31,var_32,var_11,var_19,var_21,var_24,var_17,var_9,var_5,var_12,var_14,var_20,var_29
1,1,-0.0,18,4,10,11,6,3,1,1,1,0,1,1,8.169167537,0,0,0.0,0.0,1,0,1,1,0.0,0.0,0.0,-0.0,1,-0.0,-0.0,1,2.1417401985
0,1,-0.0,17,25,3,8,18,5,5,1,0,0,1,1,-0.0,1,1,0.0,0.0,1,0,0,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,0,0.0
1,0,1.5982218600000002,5,20,5,11,19,2,2,2,0,1,1,1,8.169167537,1,0,0.0,0.0,0,1,0,0,1.8245719595,0.0,0.0,-0.0,1,-0.0,-0.0,0,2.1417401985
0,0,1.5982218600000002,22,5,20,3,16,1,8,2,1,1,1,1,-0.0,0,1,0.0,0.0,1,0,0,0,1.8245719595,0.0,0.0,6.3431309085,0,6.216228106,-0.0,1,2.1417401985
1,1,1.5982218600000002,3,10,16,10,22,9,4,1,1,1,0,0,4.0845837685,1,0,0.0,0.0,1,1,0,0,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,0,0.0
1,1,-0.0,7,25,17,5,22,8,4,1,1,0,0,0,-0.0,1,1,0.0,0.0,0,1,0,1,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,0,0.0
0,0,1.5982218600000002,1,5,20,6,2,1,2,2,1,0,1,1,8.169167537,1,1,5.443944759,7.461278847,1,1,1,1,1.8245719595,0.0,2.8859880545000003,6.3431309085,1,6.216228106,7.775910488,1,2.1417401985
1,1,1.5982218600000002,28,22,14,7,6,4,4,4,0,0,0,1,4.0845837685,1,1,0.0,7.461278847,0,1,1,1,0.0,1.809687201,0.0,6.3431309085,1,3.108114053,-0.0,1,0.0
0,1,-0.0,20,12,4,3,30,7,8,3,1,0,0,1,4.0845837685,1,1,5.443944759,7.461278847,0,1,1,0,1.8245719595,0.0,0.0,-0.0,1,-0.0,-0.0,1,2.1417401985
1,1,-0.0,18,7,5,8,9,8,5,4,1,0,0,1,-0.0,1,1,2.7219723795,7.461278847,0,0,1,1,0.0,1.809687201,2.8859880545000003,6.3431309085,0,-0.0,3.887955244,0,0.0
1,0,-0.0,18,11,17,3,38,9,3,1,1,1,1,0,-0.0,1,0,0.0,0.0,0,0,0,0,1.8245719595,0.0,0.0,-0.0,0,-0.0,-0.0,0,0.0
1,0,1.5982218600000002,3,3,11,12,4,6,8,1,0,1,1,1,-0.0,1,0,0.0,0.0,0,0,0,0,0.0,1.809687201,0.0,-0.0,1,-0.0,-0.0,1,0.0
0,0,1.5982218600000002,1,10,10,8,38,9,2,2,1,0,1,0,-0.0,0,1,0.0,0.0,0,0,0,1,1.8245719595,0.0,0.0,6.3431309085,0,-0.0,-0.0,0,2.1417401985
1,1,1.5982218600000002,1,5,14,6,3,5,4,3,1,1,1,0,4.0845837685,1,1,5.443944759,7.461278847,1,0,1,1,1.8245719595,1.809687201,2.8859880545000003,-0.0,0,-0.0,-0.0,1,2.1417401985
1,0,-0.0,6,14,18,3,2,6,5,1,1,1,0,1,-0.0,0,1,0.0,0.0,0,0,0,0,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,0,0.0
0,1,-0.0,6,18,13,4,16,9,9,1,1,0,0,1,8.169167537,1,0,0.0,0.0,1,1,0,1,1.8245719595,0.0,0.0,-0.0,0,6.216228106,3.887955244,0,2.1417401985
1,1,1.5982218600000002,20,11,16,12,30,9,2,4,0,1,0,0,8.169167537,1,0,0.0,0.0,1,0,0,1,1.8245719595,1.809687201,0.0,6.3431309085,0,3.108114053,3.887955244,1,2.1417401985
1,1,1.5982218600000002,20,17,18,10,4,4,4,4,1,0,1,1,-0.0,1,1,2.7219723795,7.461278847,1,0,0,0,0.0,1.809687201,2.8859880545000003,12.686261817,1,6.216228106,-0.0,0,0.0
1,0,1.5982218600000002,3,24,11,4,19,6,3,3,1,0,1,1,8.169167537,0,1,2.7219723795,3.7306394235,0,1,0,1,1.8245719595,0.0,2.8859880545000003,6.3431309085,0,-0.0,-0.0,1,0.0
0,1,-0.0,80,10,4,10,30,5,3,3,0,0,1,1,4.0845837685,1,0,0.0,0.0,0,1,0,1,0.0,1.809687201,2.8859880545000003,-0.0,0,-0.0,-0.0,0,2.1417401985
1,0,1.5982218600000002,3,24,13,7,30,9,4,3,0,1,1,1,-0.0,0,0,2.7219723795,7.461278847,1,0,0,1,1.8245719595,1.809687201,0.0,-0.0,0,-0.0,-0.0,1,0.0
0,1,1.5982218600000002,18,22,8,11,9,7,5,3,0,0,1,1,-0.0,0,1,0.0,7.461278847,0,0,0,1,1.8245719595,0.0,2.8859880545000003,-0.0,0,-0.0,-0.0,1,0.0
0,1,-0.0,31,2,12,10,22,7,5,2,0,1,1,0,-0.0,0,0,0.0,0.0,0,0,0,1,0.0,1.809687201,0.0,-0.0,0,-0.0,-0.0,0,0.0
0,0,-0.0,38,6,2,9,27,6,8,3,0,0,0,0,4.0845837685,0,1,0.0,7.461278847,0,0,0,1,0.0,1.809687201,0.0,6.3431309085,1,3.108114053,-0.0,0,0.0
